Name,Rollup,DWH Task
Requirement Analysis,1,Analyse and understand the Requirements (https://www.notion.so/Analyse-and-understand-the-Requirements-1d446d6f80408038a895e568fb729302?pvs=21)
,,
Design Data Architecture,1,"Choose Data Management Approach (https://www.notion.so/Choose-Data-Management-Approach-1c846d6f80408082943cf295a176f0c6?pvs=21), Brainstorm & Design The Layers (https://www.notion.so/Brainstorm-Design-The-Layers-1c846d6f804080629520effc127bb08c?pvs=21), Draw the data architecture (draw.io) (https://www.notion.so/Draw-the-data-architecture-draw-io-1d446d6f804080ae8946f6e35c4df892?pvs=21)"
Project Initialization,1,"Create GIT Repo & Prepare The Structure (https://www.notion.so/Create-GIT-Repo-Prepare-The-Structure-1c846d6f804080d894f8c5690b35a778?pvs=21), Create DB & Schemas  (https://www.notion.so/Create-DB-Schemas-1c846d6f8040802ba9a8d2047abc44a9?pvs=21), Define project naming Conventions (https://www.notion.so/Define-project-naming-Conventions-1d446d6f80408009b201dfde8c35d85f?pvs=21), Create Detailed Project task (https://www.notion.so/Create-Detailed-Project-task-1d446d6f80408038b01df995e3405b9f?pvs=21)"
Build Bronze layer,1,"Analysing : source systems (https://www.notion.so/Analysing-source-systems-1eb46d6f804080c997d3d3a00fa094b0?pvs=21), Coding : Data ingestion (https://www.notion.so/Coding-Data-ingestion-1eb46d6f8040809c93f2f3a9159ec77d?pvs=21), Validating : Data Completeness & Schema Checks (https://www.notion.so/Validating-Data-Completeness-Schema-Checks-1eb46d6f80408088b4b0de5bab019011?pvs=21), Document Raw Data Flow(Draw.io) (https://www.notion.so/Document-Raw-Data-Flow-Draw-io-1eb46d6f80408039be5fc30892984621?pvs=21), Commit code in Git Repo (https://www.notion.so/Commit-code-in-Git-Repo-1eb46d6f804080e0a00adf0081558d47?pvs=21)"
Build  Silver Layer,1,"Analysing : Explore & understand data (https://www.notion.so/Analysing-Explore-understand-data-1eb46d6f804080ac802fdc834372fe5b?pvs=21), coding data cleasing (https://www.notion.so/coding-data-cleasing-1eb46d6f804080c58355ce36b987cd1a?pvs=21), validating data correctness checks (https://www.notion.so/validating-data-correctness-checks-1eb46d6f804080668e63f88482498281?pvs=21), documenting : data flow extended  (https://www.notion.so/documenting-data-flow-extended-1eb46d6f804080c0a998d276ec52dd50?pvs=21), commit code in Git Repo (https://www.notion.so/commit-code-in-Git-Repo-1eb46d6f80408036bb29d1af45c91daa?pvs=21), Draw Data integration(draw.io) (https://www.notion.so/Draw-Data-integration-draw-io-1ef46d6f804080049736fc0d9868d648?pvs=21)"
Build Gold layer,1,"Analysing : explore business objects  (https://www.notion.so/Analysing-explore-business-objects-1eb46d6f804080fcaa4de89a5d37cd05?pvs=21), coding data inetgration (https://www.notion.so/coding-data-inetgration-1eb46d6f80408097bd20f7087c457f29?pvs=21), validating : data integration checks (https://www.notion.so/validating-data-integration-checks-1eb46d6f804080049d3ddaca48fbe36d?pvs=21), Document : Draw Data Model of Star Schema  (https://www.notion.so/Document-Draw-Data-Model-of-Star-Schema-1eb46d6f804080c4af6cf0bd3feeff3c?pvs=21), Document : Create Data catalog (https://www.notion.so/Document-Create-Data-catalog-1eb46d6f804080abaa7ae54ee47ec7a7?pvs=21), document External data flow (https://www.notion.so/document-External-data-flow-1f246d6f8040803498e4e44d7746ae9d?pvs=21), commit GIT repo (https://www.notion.so/commit-GIT-repo-1f246d6f8040800196e4c25fdd5c9b47?pvs=21)"
